,.5
i,.2,colossal
think,.3,colossal
summ-bahdy,.4,colossal
broke,.2,colossal
into,.1,colossal
mah,.2,colossal
hoouuse,.7,colossal
,.2
he  in  mah,.45,colossal
living roooom,.9,colossal
OK,.5
Stay where you are,1.1
,.1
We're going to send someone over right now,2
,.05
hang on,.3,colossal
,.1
imma,.3,colossal
investigate,.6,colossal
You do not have to do tha--,1.1
H,.1,letters
HH,.1,letters
HHA,.1,letters
HHHA,.1,letters
HHHAA,.1,letters
it ain't,.5,basic
a ma-y-an,.9,basic
its a,.3,basic
,.4
dawwg,.8,o8
and i,.3,basic
HATE,.7,basic
dawwwwwgs,1,o8
,.05
If there's a dog,.45
it could be rabid,.9
do not approach it,1.1
im,.9,basic
approaching,.7,basic
the rabid,.6,basic
dog,.7,o8
now,1,o8
